Battery,Car_name,Efficiency,Fast_charge,Price,Range,Top_speed,Acceleration
68,Toyota PROACE Verso L 75 kWh,262,280,2317244.4,260,130,13.1
70.5,NIO EL6 75 kWh,201,470,2321320,350,200,4.5
46.3,Opel Combo-e Life 50 kWh,226,330,1525692,205,135,11.7
68,Citroen e-Jumpy Combi M 75 kWh,257,290,2053393.6,265,130,13.3
90.6,Mercedes EQE AMG 53 4MATIC+,195,690,3923420.64,465,220,3.5
90,Mercedes eVito Tourer Extra-Long 90 kWh,295,310,2308561.6,305,160,12
83.7,Porsche Taycan Turbo,188,1090,5827044.8,445,260,3.2
68,Peugeot e-Expert Combi Standard 75 kWh,257,290,2053393.6,265,130,14.3
46.3,Peugeot e-Rifter Standard 50 kWh,226,330,1461545.6,205,135,11.7
68,Peugeot e-Traveller Long 75 kWh,262,280,2141639.2,260,130,14.3
74,Genesis GV60 Sport,195,990,2239808,380,200,5.5
83.7,Porsche Taycan 4S Cross Turismo,190,1080,4249752.16,440,240,4.1
87.7,VinFast VF 8 Plus Extended Range,206,550,2087061.6,425,200,5.5
71,Porsche Taycan Sport Turismo,187,930,3334585.04,380,230,5.4
60,Mercedes EQV 250 Long,286,200,2411904.64,210,160,12
90,Mercedes EQV 300 Extra-Long,290,310,2570073.36,310,160,12.1
60,Mercedes eVito Tourer Long 60 kWh,286,310,2150428.32,210,160,12
37.8,Abarth 500e Convertible,168,370,1452685.6,225,155,7
74,Genesis GV60 Sport Plus,203,950,2590664,365,235,4
68,Citroen e-SpaceTourer M 75 kWh,257,290,2113641.6,265,130,13.3
70.5,NIO EL7 75 kWh,207,460,3044296,340,200,3.9
68,Peugeot e-Traveller Standard 75 kWh,257,290,2113641.6,265,130,14.3
46.3,Peugeot e-Traveller Standard 50 kWh,250,290,1901001.6,185,130,13.1
83.7,Porsche Taycan GTS Sport Turismo,197,1050,4992007.52,425,250,3.7
83.7,Porsche Taycan Turbo Cross Turismo,197,1050,5877653.12,425,250,3.3
68,Peugeot e-Expert Combi Long 75 kWh,262,280,2081391.2,260,130,14.3
68,Fiat E-Ulysse L3 75 kWh,262,280,2232365.6,260,130,13.3
46.3,Citroen e-SpaceTourer XL 50 kWh,257,290,1928999.2,180,130,12.1
83.7,Porsche Taycan Turbo S Cross Turismo,204,1010,7058513.92,410,250,2.9
46.3,Citroen e-Berlingo XL 50 kWh,226,330,1546601.6,205,135,11.7
21.3,Fiat 500e Cabrio 24 kWh,158,230,1257765.6,135,135,9
